t,Lidar,SHITOMASI+BRISK,SHITOMASI+BRIEF,SHITOMASI+ORB,SHITOMASI+FREAK,SHITOMASI+SIFT,HARRIS+BRISK,HARRIS+BRIEF,HARRIS+ORB,HARRIS+FREAK,HARRIS+SIFT,FAST+BRISK,FAST+BRIEF,FAST+ORB,FAST+FREAK,FAST+SIFT,BRISK+BRISK,BRISK+BRIEF,BRISK+ORB,BRISK+FREAK,BRISK+SIFT,ORB+BRISK,ORB+BRIEF,ORB+ORB,ORB+FREAK,ORB+SIFT,AKAZE+BRISK,AKAZE+BRIEF,AKAZE+ORB,AKAZE+FREAK,AKAZE+AKAZE,AKAZE+SIFT,SIFT+BRISK,SIFT+BRIEF,SIFT+FREAK,SIFT+SIFT,
15,3.175354,16.306585,33.751419,33.751419,99.990000,17.057362,99.990000,99.990000,54.730805,99.990000,99.990000,19.612304,99.990000,20.040554,21.308358,46.832205,19.090112,20.227026,18.659426,18.619904,19.130634,16.990715,15.293871,51.815852,11.443953,19.855307,21.542158,21.386193,22.499843,16.896815,18.956726,18.675078,75.023900,67.977103,61.832626,59.382742,
16,99.990000,20.924167,33.388932,17.272682,19.138158,24.307445,20.040554,18.299864,16.642303,28.402942,29.811821,19.273059,18.262209,20.094921,21.631218,20.421049,22.705509,19.186791,18.148816,22.701687,21.467725,31.195480,21.706862,27.973583,11.321919,32.934808,25.714483,25.984525,26.003267,26.435313,23.303931,24.832558,26.371426,32.897791,25.964752,38.500204,
17,8.309779,22.127115,20.087882,16.200615,15.723596,21.474884,16.562305,19.795820,17.074415,15.809145,26.714577,26.200381,67.374963,99.990000,96.240450,81.823303,27.141750,26.184686,24.875388,25.546723,27.468060,31.405695,25.815444,99.990000,22.793274,31.405695,26.620016,23.937946,22.738353,27.460125,24.006199,24.477215,41.724947,33.292695,31.726394,39.363612,
18,7.643156,18.888090,16.264206,16.097714,16.224282,17.975274,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,60.978848,38.342109,99.990000,39.150677,21.720263,20.993396,22.116486,23.374647,25.295865,99.990000,99.990000,99.990000,99.990000,99.990000,24.844961,22.710444,26.032042,24.282221,22.250613,22.960040,71.859870,69.831787,62.495475,54.775269,
19,4.738851,16.754832,40.220053,16.113042,17.251522,29.167671,99.990000,99.990000,99.990000,99.990000,99.990000,19.774605,99.990000,24.351368,21.196549,28.190337,25.538470,24.273301,26.820251,28.273438,35.133076,99.990000,59.384968,99.990000,99.990000,99.990000,28.352094,24.942257,25.262502,21.828409,21.543397,24.481082,99.990000,99.990000,99.990000,99.905816,
20,5.255299,74.817180,61.563167,24.755394,99.990000,31.494515,19.070031,27.389009,18.056252,16.589205,16.551533,23.481945,99.990000,53.878079,99.990000,99.990000,17.681475,20.899251,13.384812,22.004304,20.832052,99.990000,99.990000,99.990000,99.990000,99.990000,26.841559,31.261175,27.520202,31.421676,21.691385,24.883146,99.990000,99.990000,73.311841,98.361649,
21,9.693871,15.980003,15.974978,14.910702,15.072580,16.889222,35.427882,99.990000,72.889310,99.990000,99.990000,23.239964,21.130021,99.990000,99.990000,99.990000,19.410151,21.036908,17.846835,21.646241,18.407820,99.990000,99.990000,99.990000,99.990000,99.990000,16.954697,17.921536,17.577203,17.610870,17.773918,16.275162,82.200945,80.271175,92.376062,57.739483,
22,8.430688,25.435784,26.756080,24.834846,22.763559,21.290156,42.094717,65.244482,21.634831,33.715808,41.363701,99.990000,73.472751,18.172659,27.512409,99.990000,21.120646,28.433189,17.937746,26.189431,22.790506,99.990000,42.917608,99.990000,99.990000,99.990000,22.186510,20.995384,23.942921,22.891704,23.654707,21.864137,48.296674,89.778408,56.039721,51.523342,
23,6.925544,41.407556,24.919374,39.425694,34.586192,30.426005,99.990000,99.990000,99.990000,99.990000,99.990000,22.072192,42.203787,56.053289,99.990000,99.990000,20.923557,27.693812,19.526569,23.271627,24.934555,93.913224,99.990000,27.563943,99.990000,99.990000,24.116797,20.539414,23.814913,24.561365,19.608841,19.978270,27.527842,36.511180,29.712719,32.551867,
24,7.147677,17.724126,19.621085,16.152876,17.557460,17.559925,17.472753,18.566873,16.750443,16.156116,20.080179,99.990000,99.990000,99.990000,99.990000,99.990000,27.039594,19.944726,28.309246,22.811006,25.772426,99.990000,99.990000,99.990000,99.990000,99.990000,20.528480,22.285525,20.274549,22.142092,21.799386,22.491938,36.397932,49.852345,40.849344,59.014002,
25,9.977070,17.526890,19.577299,16.939816,19.062369,19.739189,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,22.551457,99.990000,99.990000,30.090614,30.405309,34.935778,33.875582,45.951979,99.990000,99.990000,99.990000,99.990000,99.990000,24.366805,27.631904,26.611521,31.640281,28.630582,27.731487,63.179871,57.217668,63.753304,63.436255,
26,7.059997,45.486888,36.413052,22.707033,19.897013,32.751462,56.914891,99.990000,58.817859,22.477697,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,39.394887,37.411686,30.927371,36.324646,52.109165,99.990000,99.990000,99.990000,99.990000,99.990000,26.333296,24.770591,26.312692,22.797449,27.606750,30.201945,23.612148,32.617771,24.137266,35.131555,
27,12.668104,26.993908,40.402635,34.965160,36.922113,66.979374,23.743133,34.969121,28.432426,31.601921,26.538078,99.990000,99.990000,99.990000,99.990000,99.990000,28.428264,34.147425,27.495024,27.633218,36.541257,99.990000,99.990000,99.990000,99.990000,99.990000,25.484252,30.049907,31.841191,26.009865,26.717549,27.373649,32.308145,50.117516,27.449304,34.143402,
28,2.656480,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,26.722390,29.746294,25.639311,29.676234,33.290461,99.990000,99.990000,99.990000,99.990000,99.990000,26.025569,24.483445,22.320676,23.761365,23.388096,25.459975,46.412298,59.485832,68.732033,51.042945,
29,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,36.081778,42.791760,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,99.990000,39.371059,33.026569,32.670640,30.323165,55.380524,99.990000,65.457345,76.933981,99.990000,99.990000,25.573736,25.523978,22.958875,24.309719,23.158401,25.573736,39.290829,32.066814,43.728498,42.270748,
30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
